"selected_volume_db","selected_eq","odds_ratio","lower","upper"
-6,"HighCut",1.62699978785091,1.29389502827476,2.01069441511842
-5,"HighCut",1.49889394166913,1.23950762672586,1.78973360614068
-4,"HighCut",1.3813656437588,1.18740633765942,1.59305479587817
-3,"HighCut",1.273504789505,1.13749506693672,1.41798956785673
-2,"HighCut",1.17448250145762,1.0896817596271,1.26216274532177
-1,"HighCut",1.08354363555298,1.04387823022438,1.12346016630861
0,"HighCut",1,1,1
1,"HighCut",0.923224217126255,0.890107215209164,0.957966141192838
2,"HighCut",0.852644165477171,0.792290854592274,0.917699127748306
3,"HighCut",0.787737945740314,0.705223806261075,0.879124692331477
4,"HighCut",0.728029319700646,0.627724798349342,0.842171689350502
5,"HighCut",0.673083576490172,0.558742372246594,0.806771963737671
6,"HighCut",0.62250378493668,0.497340617057802,0.772860225246131
-24,"V-Shape",1.79522024188438,0.441313199520772,4.82879321327478
-23,"V-Shape",1.73909060604227,0.456613900778509,4.52215374379153
-22,"V-Shape",1.68579279353715,0.472445090302003,4.23498659318714
-21,"V-Shape",1.63517319213525,0.488825160569695,3.96605522347466
-20,"V-Shape",1.58708796429155,0.505773141742909,3.71420161976497
-19,"V-Shape",1.54140238593082,0.523308723774854,3.47834130386159
-18,"V-Shape",1.49799023398427,0.541452279286176,3.25745866450443
-17,"V-Shape",1.45673321892759,0.560224887233624,3.05060258415432
-16,"V-Shape",1.41752045887035,0.579648357399319,2.8568823434873
-15,"V-Shape",1.38024799202621,0.599745255729095,2.6754637859635
-14,"V-Shape",1.34481832464911,0.620538930549345,2.50556572595508
-13,"V-Shape",1.3111400117554,0.642053539692817,2.34645658496677
-12,"V-Shape",1.27912726816732,0.664314078564893,2.19745124146458
-11,"V-Shape",1.24869960761079,0.687346409182949,2.05790808074786
-10,"V-Shape",1.21978150778183,0.711177290222529,1.9272262321617
-9,"V-Shape",1.19230209946266,0.735834408105251,1.80484298175297
-8,"V-Shape",1.16619487792156,0.76134640916456,1.69023134922893
-7,"V-Shape",1.14139743497103,0.787742932926681,1.58289781878478
-6,"V-Shape",1.11785121018842,0.815054646545473,1.48238021402914
-5,"V-Shape",1.09550125992183,0.843313280431148,1.38824570785686
-4,"V-Shape",1.07429604281368,0.87255166511428,1.30008895869967
-3,"V-Shape",1.05418722067508,0.902803769387918,1.21753036512941
-2,"V-Shape",1.03512947363697,0.93410473977212,1.14021443129812
-1,"V-Shape",1.01708032858949,0.966490941346752,1.0678082361766
0,"V-Shape",1,1,1
1,"V-Shape",0.983851242273048,0.936497741747516,1.03467084614167
2,"V-Shape",0.968599212882762,0.877028021875379,1.07054375993208
3,"V-Shape",0.954211345570498,0.821334764889255,1.10766041807903
4,"V-Shape",0.940657232958034,0.769178156686139,1.14606394225734
5,"V-Shape",0.92790851798005,0.720333611917654,1.18579894920706
6,"V-Shape",0.915938793589079,0.67459080692825,1.22691160256869
-24,"VocalReduce",8.22061467718189,2.67754664821363,20.0968264122901
-23,"VocalReduce",7.48880654012686,2.56989075431602,17.7349718259101
-22,"VocalReduce",6.82544322594351,2.46656337538628,15.6506912690554
-21,"VocalReduce",6.22384091392381,2.36739047490838,13.8113631983331
-20,"VocalReduce",5.67799418659057,2.27220501385458,12.1881998767601
-19,"VocalReduce",5.18250470506032,2.18084666933714,10.7557968104209
-18,"VocalReduce",4.73251763082696,2.09316156457216,9.49173513702497
-17,"VocalReduce",4.32366492680675,2.00900200970083,8.3762307432541
-16,"VocalReduce",3.95201477034452,1.9282262530315,7.3918246191589
-15,"VocalReduce",3.61402639893168,1.85069824228355,6.52310960327038
-14,"VocalReduce",3.30650978706022,1.77628739543097,5.75648924165331
-13,"VocalReduce",3.02658962118723,1.70486838075963,5.07996498675006
-12,"VocalReduce",2.77167310031061,1.63632090576782,4.48294840541634
-11,"VocalReduce",2.53942114312151,1.57052951455445,3.95609545697444
-10,"VocalReduce",2.32772262994767,1.50738339335371,3.49116024753276
-9,"VocalReduce",2.13467134947642,1.44677618388861,3.0808659716473
-8,"VocalReduce",1.95854535719566,1.38860580422896,2.71879102140443
-7,"VocalReduce",1.79778848518941,1.33277427685225,2.39926848039224
-6,"VocalReduce",1.65099377187183,1.27918756361754,2.11729742951827
-5,"VocalReduce",1.51688860588285,1.22775540737473,1.86846467650094
-4,"VocalReduce",1.3943214010865,1.17839117994208,1.64887568400539
-3,"VocalReduce",1.2822496397527,1.13101173619629,1.45509361536445
-2,"VocalReduce",1.17972913886384,1.08553727402902,1.28408554387556
-1,"VocalReduce",1.08590441033463,1.04189119993426,1.13317498378344
0,"VocalReduce",1,1,1
1,"VocalReduce",0.921312702716964,0.882476240927507,0.959793116086912
2,"VocalReduce",0.849204562023668,0.778764315803338,0.92120282698558
3,"VocalReduce",0.783096572661574,0.687241005981778,0.884164134351996
4,"VocalReduce",0.722463013036534,0.606473859574228,0.848614653229292
5,"VocalReduce",0.666826342495435,0.535198771822792,0.814494506971237
6,"VocalReduce",0.615752605237258,0.472300200312635,0.781746226390575
