selected_level_db_bin,Flat,BassCut,HighCut,VocalReduce,V-Shape
5-6 dB,0.5774647887323944,0.23943661971830985,0.07042253521126761,0.07042253521126761,0.04225352112676056
4-5 dB,0.5204081632653061,0.23469387755102042,0.12244897959183673,0.04081632653061224,0.08163265306122448
3-4 dB,0.6625766871165644,0.19631901840490798,0.012269938650306749,0.04294478527607362,0.08588957055214724
2-3 dB,0.6009389671361502,0.14553990610328638,0.09859154929577464,0.051643192488262914,0.10328638497652583
1-2 dB,0.5983935742971888,0.1686746987951807,0.10441767068273092,0.04819277108433735,0.08032128514056225
0-1 dB,0.550185873605948,0.1524163568773234,0.14869888475836432,0.05947955390334572,0.08921933085501858
-1-0 dB,0.5398230088495575,0.11504424778761062,0.168141592920354,0.08849557522123894,0.08849557522123894
-2--1 dB,0.5987261146496815,0.1592356687898089,0.14012738853503184,0.07643312101910828,0.025477707006369428
-3--2 dB,0.5961538461538461,0.125,0.15384615384615385,0.04807692307692308,0.07692307692307693
-4--3 dB,0.631578947368421,0.07368421052631578,0.12631578947368421,0.09473684210526316,0.07368421052631578
-5--4 dB,0.5517241379310345,0.13793103448275862,0.12643678160919541,0.12643678160919541,0.05747126436781609
-6--5 dB,0.48484848484848486,0.15151515151515152,0.16666666666666666,0.09090909090909091,0.10606060606060606
-7--6 dB,0.5272727272727272,0.2727272727272727,0.07272727272727272,0.03636363636363636,0.09090909090909091
-8--7 dB,0.5384615384615384,0.1282051282051282,0.1794871794871795,0.07692307692307693,0.07692307692307693
-9--8 dB,0.3611111111111111,0.2222222222222222,0.1388888888888889,0.1111111111111111,0.16666666666666666
-10--9 dB,0.4722222222222222,0.16666666666666666,0.08333333333333333,0.2222222222222222,0.05555555555555555
-11--10 dB,0.4666666666666667,0.06666666666666667,0.3,0.0,0.16666666666666666
-12--11 dB,0.5909090909090909,0.09090909090909091,0.09090909090909091,0.22727272727272727,0.0
-13--12 dB,0.4166666666666667,0.16666666666666666,0.08333333333333333,0.25,0.08333333333333333
-14--13 dB,0.38461538461538464,0.07692307692307693,0.3076923076923077,0.15384615384615385,0.07692307692307693
-15--14 dB,0.5,0.25,0.25,0.0,0.0
-16--15 dB,0.5,0.0,0.125,0.125,0.25
-17--16 dB,0.2,0.4,0.2,0.0,0.2
-18--17 dB,0.5,0.0,0.5,0.0,0.0
-19--18 dB,0.0,0.0,0.5,0.5,0.0
-20--19 dB,0.0,1.0,0.0,0.0,0.0
-21--20 dB,0.0,0.0,0.5,0.5,0.0
-22--21 dB,0.0,0.0,1.0,0.0,0.0
-23--22 dB,0.0,0.0,0.0,1.0,0.0
-24--23 dB,0.0,1.0,0.0,0.0,0.0
